Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = dimer
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
step 0: train loss 4.3265, val loss 4.3090
iter 136: loss 2.7558, time 470.82ms, mfu 0.03%
iter 137: loss 2.6036, time 493.27ms, mfu 0.03%
iter 138: loss 2.7257, time 495.95ms, mfu 0.03%
iter 139: loss 2.6690, time 658.40ms, mfu 0.03%
iter 140: loss 2.5948, time 530.85ms, mfu 0.03%
iter 141: loss 2.5660, time 450.78ms, mfu 0.03%
iter 142: loss 2.7101, time 505.15ms, mfu 0.03%
iter 143: loss 2.6224, time 459.26ms, mfu 0.03%
iter 144: loss 2.6814, time 470.82ms, mfu 0.03%
iter 145: loss 2.6292, time 484.74ms, mfu 0.03%
iter 146: loss 2.5928, time 515.32ms, mfu 0.03%
iter 147: loss 2.5702, time 455.23ms, mfu 0.03%
iter 148: loss 2.6340, time 493.16ms, mfu 0.03%
iter 149: loss 2.5713, time 663.88ms, mfu 0.03%
iter 150: loss 2.6689, time 483.63ms, mfu 0.03%
iter 151: loss 2.7408, time 480.81ms, mfu 0.03%
iter 152: loss 2.6017, time 566.63ms, mfu 0.03%
iter 153: loss 2.6105, time 518.92ms, mfu 0.03%
iter 154: loss 2.5668, time 494.58ms, mfu 0.03%
iter 155: loss 2.6087, time 490.76ms, mfu 0.03%
iter 156: loss 2.6246, time 507.83ms, mfu 0.03%
iter 157: loss 2.6235, time 492.78ms, mfu 0.03%
iter 158: loss 2.5637, time 504.29ms, mfu 0.03%
iter 159: loss 2.5869, time 686.44ms, mfu 0.03%
iter 160: loss 2.5760, time 603.39ms, mfu 0.03%
iter 161: loss 2.5905, time 492.50ms, mfu 0.03%
iter 162: loss 2.6642, time 545.65ms, mfu 0.03%
iter 163: loss 2.6248, time 561.43ms, mfu 0.03%
iter 164: loss 2.6569, time 503.46ms, mfu 0.03%
iter 165: loss 2.4822, time 532.73ms, mfu 0.03%
iter 166: loss 2.4848, time 510.61ms, mfu 0.03%
iter 167: loss 2.6518, time 470.57ms, mfu 0.03%
iter 168: loss 2.6580, time 490.96ms, mfu 0.03%
iter 169: loss 2.7220, time 741.90ms, mfu 0.03%
iter 170: loss 2.6173, time 545.32ms, mfu 0.03%
iter 171: loss 2.6683, time 528.70ms, mfu 0.03%
iter 172: loss 2.6187, time 500.96ms, mfu 0.03%
iter 173: loss 2.6326, time 501.49ms, mfu 0.03%
iter 174: loss 2.5633, time 489.13ms, mfu 0.03%
iter 175: loss 2.6119, time 508.50ms, mfu 0.03%
iter 176: loss 2.6169, time 473.80ms, mfu 0.03%
iter 177: loss 2.5991, time 534.76ms, mfu 0.03%
iter 178: loss 2.6135, time 505.68ms, mfu 0.03%
iter 179: loss 2.5642, time 674.06ms, mfu 0.03%
iter 180: loss 2.6463, time 533.99ms, mfu 0.03%
iter 181: loss 2.6098, time 516.37ms, mfu 0.03%
iter 182: loss 2.6052, time 446.28ms, mfu 0.03%
iter 183: loss 2.5725, time 508.66ms, mfu 0.03%
iter 184: loss 2.5852, time 498.91ms, mfu 0.03%
iter 185: loss 2.6817, time 516.55ms, mfu 0.03%
iter 186: loss 2.5528, time 538.51ms, mfu 0.03%
iter 187: loss 2.6899, time 487.16ms, mfu 0.03%
iter 188: loss 2.5666, time 480.61ms, mfu 0.03%
iter 189: loss 2.5813, time 787.80ms, mfu 0.03%
iter 190: loss 2.5992, time 533.47ms, mfu 0.03%
iter 191: loss 2.6504, time 465.79ms, mfu 0.03%
iter 192: loss 2.6440, time 550.66ms, mfu 0.03%
iter 193: loss 2.5031, time 449.42ms, mfu 0.03%
iter 194: loss 2.7119, time 520.11ms, mfu 0.03%
iter 195: loss 2.5608, time 550.80ms, mfu 0.03%
iter 196: loss 2.6119, time 470.28ms, mfu 0.03%
iter 197: loss 2.5982, time 473.35ms, mfu 0.03%
iter 198: loss 2.5588, time 506.56ms, mfu 0.03%
iter 199: loss 2.4820, time 697.81ms, mfu 0.03%
iter 200: loss 2.5336, time 506.03ms, mfu 0.03%
iter 201: loss 2.6244, time 543.67ms, mfu 0.03%
iter 202: loss 2.6444, time 453.22ms, mfu 0.03%
iter 203: loss 2.6121, time 520.44ms, mfu 0.03%
iter 204: loss 2.7085, time 466.40ms, mfu 0.03%
iter 205: loss 2.6458, time 478.38ms, mfu 0.03%
iter 206: loss 2.5631, time 533.92ms, mfu 0.03%
iter 207: loss 2.6966, time 491.55ms, mfu 0.03%
iter 208: loss 2.5728, time 471.09ms, mfu 0.03%
iter 209: loss 2.5797, time 648.50ms, mfu 0.03%
iter 210: loss 2.6620, time 506.17ms, mfu 0.03%
iter 211: loss 2.6298, time 586.28ms, mfu 0.03%
iter 212: loss 2.5795, time 493.12ms, mfu 0.03%
iter 213: loss 2.5291, time 538.66ms, mfu 0.03%
iter 214: loss 2.5858, time 521.01ms, mfu 0.03%
iter 215: loss 2.6010, time 499.73ms, mfu 0.03%
iter 216: loss 2.6251, time 510.09ms, mfu 0.03%
iter 217: loss 2.5425, time 470.59ms, mfu 0.03%
iter 218: loss 2.6401, time 534.69ms, mfu 0.03%
iter 219: loss 2.5959, time 734.83ms, mfu 0.03%
iter 220: loss 2.6029, time 516.61ms, mfu 0.03%
iter 221: loss 2.6067, time 550.16ms, mfu 0.03%
iter 222: loss 2.6764, time 537.25ms, mfu 0.03%
iter 223: loss 2.5402, time 529.52ms, mfu 0.03%
iter 224: loss 2.5664, time 504.95ms, mfu 0.03%
iter 225: loss 2.6488, time 526.30ms, mfu 0.03%
iter 226: loss 2.7250, time 471.63ms, mfu 0.03%
iter 227: loss 2.5298, time 528.64ms, mfu 0.03%
iter 228: loss 2.6515, time 548.15ms, mfu 0.03%
iter 229: loss 2.5635, time 727.24ms, mfu 0.03%
iter 230: loss 2.6662, time 494.44ms, mfu 0.03%
iter 231: loss 2.5447, time 555.94ms, mfu 0.03%
iter 232: loss 2.5855, time 485.48ms, mfu 0.03%
iter 233: loss 2.6364, time 540.65ms, mfu 0.03%
iter 234: loss 2.6263, time 487.63ms, mfu 0.03%
iter 235: loss 2.5992, time 455.89ms, mfu 0.03%
iter 236: loss 2.6842, time 518.79ms, mfu 0.03%
iter 237: loss 2.5205, time 475.51ms, mfu 0.03%
iter 238: loss 2.6409, time 512.36ms, mfu 0.03%
iter 239: loss 2.5664, time 748.70ms, mfu 0.03%
iter 240: loss 2.5783, time 504.01ms, mfu 0.03%
iter 241: loss 2.5859, time 469.54ms, mfu 0.03%
iter 242: loss 2.5553, time 520.55ms, mfu 0.03%
iter 243: loss 2.5467, time 514.90ms, mfu 0.03%
iter 244: loss 2.6550, time 538.47ms, mfu 0.03%
iter 245: loss 2.6243, time 528.89ms, mfu 0.03%
iter 246: loss 2.5278, time 486.95ms, mfu 0.03%
iter 247: loss 2.6297, time 535.58ms, mfu 0.03%
iter 248: loss 2.5272, time 513.09ms, mfu 0.03%
iter 249: loss 2.6207, time 741.92ms, mfu 0.03%
step 250: train loss 2.5756, val loss 2.5894
saving checkpoint to out-shakespeare-char
iter 250: loss 2.6608, time 5016.07ms, mfu 0.03%
iter 251: loss 2.6131, time 510.28ms, mfu 0.03%
iter 252: loss 2.5919, time 485.74ms, mfu 0.03%
iter 253: loss 2.5546, time 477.46ms, mfu 0.03%
iter 254: loss 2.6397, time 506.21ms, mfu 0.03%
iter 255: loss 2.6120, time 486.53ms, mfu 0.03%
iter 256: loss 2.5173, time 510.88ms, mfu 0.03%
iter 257: loss 2.5312, time 482.07ms, mfu 0.03%
iter 258: loss 2.6439, time 556.26ms, mfu 0.03%
iter 259: loss 2.5894, time 650.29ms, mfu 0.03%
iter 260: loss 2.5808, time 436.72ms, mfu 0.03%
