Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = sophia
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,666,368 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 154: loss 2.5029, time 405.21ms, mfu 0.04%
iter 155: loss 2.5565, time 357.70ms, mfu 0.04%
iter 156: loss 2.5409, time 386.55ms, mfu 0.04%
iter 157: loss 2.5704, time 383.17ms, mfu 0.04%
iter 158: loss 2.4192, time 427.54ms, mfu 0.04%
iter 159: loss 2.5177, time 441.70ms, mfu 0.04%
iter 160: loss 2.6792, time 379.82ms, mfu 0.04%
iter 161: loss 2.5615, time 384.89ms, mfu 0.04%
iter 162: loss 2.4554, time 459.22ms, mfu 0.04%
iter 163: loss 2.4858, time 383.74ms, mfu 0.04%
iter 164: loss 2.3930, time 358.84ms, mfu 0.04%
iter 165: loss 2.5336, time 386.02ms, mfu 0.04%
iter 166: loss 2.3810, time 349.13ms, mfu 0.04%
iter 167: loss 2.5237, time 377.18ms, mfu 0.04%
iter 168: loss 2.3874, time 471.33ms, mfu 0.04%
iter 169: loss 2.5967, time 403.34ms, mfu 0.04%
iter 170: loss 2.4588, time 394.81ms, mfu 0.04%
iter 171: loss 2.4217, time 407.78ms, mfu 0.04%
iter 172: loss 2.4644, time 393.78ms, mfu 0.04%
iter 173: loss 2.5172, time 441.40ms, mfu 0.04%
iter 174: loss 2.4630, time 362.13ms, mfu 0.04%
iter 175: loss 2.3945, time 385.07ms, mfu 0.04%
iter 176: loss 2.4628, time 446.42ms, mfu 0.04%
iter 177: loss 2.4340, time 385.58ms, mfu 0.04%
iter 178: loss 2.4733, time 424.32ms, mfu 0.04%
iter 179: loss 2.4405, time 390.67ms, mfu 0.04%
iter 180: loss 2.4664, time 402.65ms, mfu 0.04%
iter 181: loss 2.5835, time 367.64ms, mfu 0.04%
iter 182: loss 2.4508, time 444.34ms, mfu 0.04%
iter 183: loss 2.4248, time 378.18ms, mfu 0.04%
iter 184: loss 2.4382, time 428.98ms, mfu 0.04%
iter 185: loss 2.3722, time 416.56ms, mfu 0.04%
iter 186: loss 2.4733, time 426.26ms, mfu 0.04%
iter 187: loss 2.4738, time 369.31ms, mfu 0.04%
iter 188: loss 2.4315, time 418.22ms, mfu 0.04%
iter 189: loss 2.4145, time 410.58ms, mfu 0.04%
iter 190: loss 2.4682, time 377.66ms, mfu 0.04%
iter 191: loss 2.4553, time 413.83ms, mfu 0.04%
iter 192: loss 2.5148, time 398.68ms, mfu 0.04%
iter 193: loss 2.3832, time 405.43ms, mfu 0.04%
iter 194: loss 2.5039, time 370.90ms, mfu 0.04%
iter 195: loss 2.4538, time 364.05ms, mfu 0.04%
iter 196: loss 2.4031, time 416.51ms, mfu 0.04%
iter 197: loss 2.5611, time 411.95ms, mfu 0.04%
iter 198: loss 2.4503, time 388.45ms, mfu 0.04%
iter 199: loss 2.4888, time 389.73ms, mfu 0.04%
iter 200: loss 2.3706, time 351.93ms, mfu 0.04%
iter 201: loss 2.3237, time 417.60ms, mfu 0.04%
iter 202: loss 2.4074, time 371.76ms, mfu 0.04%
iter 203: loss 2.4421, time 380.02ms, mfu 0.04%
iter 204: loss 2.4377, time 415.56ms, mfu 0.04%
iter 205: loss 2.4187, time 346.82ms, mfu 0.04%
iter 206: loss 2.4595, time 413.62ms, mfu 0.04%
iter 207: loss 2.4074, time 381.88ms, mfu 0.04%
iter 208: loss 2.4718, time 393.10ms, mfu 0.04%
iter 209: loss 2.4013, time 367.69ms, mfu 0.04%
iter 210: loss 2.3763, time 382.24ms, mfu 0.04%
iter 211: loss 2.3221, time 365.35ms, mfu 0.04%
iter 212: loss 2.3966, time 361.60ms, mfu 0.04%
iter 213: loss 2.3707, time 394.37ms, mfu 0.04%
iter 214: loss 2.4873, time 424.19ms, mfu 0.04%
iter 215: loss 2.3964, time 387.15ms, mfu 0.04%
iter 216: loss 2.3036, time 401.67ms, mfu 0.04%
iter 217: loss 2.3449, time 363.70ms, mfu 0.04%
iter 218: loss 2.3383, time 406.87ms, mfu 0.04%
iter 219: loss 2.2926, time 421.90ms, mfu 0.04%
iter 220: loss 2.3900, time 345.55ms, mfu 0.04%
iter 221: loss 2.3640, time 417.89ms, mfu 0.04%
iter 222: loss 2.4040, time 394.86ms, mfu 0.04%
iter 223: loss 2.4785, time 383.21ms, mfu 0.04%
iter 224: loss 2.3860, time 406.61ms, mfu 0.04%
iter 225: loss 2.3377, time 385.97ms, mfu 0.04%
iter 226: loss 2.3716, time 366.63ms, mfu 0.04%
iter 227: loss 2.4432, time 408.75ms, mfu 0.04%
iter 228: loss 2.3259, time 396.03ms, mfu 0.04%
iter 229: loss 2.3214, time 406.80ms, mfu 0.04%
iter 230: loss 2.3576, time 399.58ms, mfu 0.04%
iter 231: loss 2.4124, time 391.07ms, mfu 0.04%
iter 232: loss 2.4009, time 358.87ms, mfu 0.04%
iter 233: loss 2.4208, time 384.64ms, mfu 0.04%
iter 234: loss 2.4099, time 369.30ms, mfu 0.04%
iter 235: loss 2.3615, time 443.57ms, mfu 0.04%
iter 236: loss 2.3046, time 401.47ms, mfu 0.04%
iter 237: loss 2.4358, time 363.23ms, mfu 0.04%
iter 238: loss 2.4417, time 420.53ms, mfu 0.04%
