Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = dimerSgd
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
step 0: train loss 4.3265, val loss 4.3090
iter 105: loss 3.7415, time 426.58ms, mfu 0.04%
iter 106: loss 3.7760, time 410.58ms, mfu 0.04%
iter 107: loss 3.7311, time 385.63ms, mfu 0.04%
iter 108: loss 3.7114, time 393.74ms, mfu 0.04%
iter 109: loss 3.6725, time 593.22ms, mfu 0.04%
iter 110: loss 3.7305, time 373.38ms, mfu 0.04%
iter 111: loss 3.7170, time 374.36ms, mfu 0.04%
iter 112: loss 3.7225, time 420.67ms, mfu 0.04%
iter 113: loss 3.7776, time 382.67ms, mfu 0.04%
iter 114: loss 3.6580, time 386.36ms, mfu 0.04%
iter 115: loss 3.6457, time 406.87ms, mfu 0.04%
iter 116: loss 3.7001, time 378.12ms, mfu 0.04%
iter 117: loss 3.7215, time 415.92ms, mfu 0.04%
iter 118: loss 3.7519, time 381.84ms, mfu 0.04%
iter 119: loss 3.7206, time 603.88ms, mfu 0.04%
iter 120: loss 3.6542, time 436.42ms, mfu 0.04%
iter 121: loss 3.6249, time 430.24ms, mfu 0.04%
iter 122: loss 3.5961, time 374.70ms, mfu 0.04%
iter 123: loss 3.6440, time 409.93ms, mfu 0.04%
iter 124: loss 3.6117, time 427.00ms, mfu 0.04%
iter 125: loss 3.6320, time 381.57ms, mfu 0.04%
iter 126: loss 3.6472, time 389.01ms, mfu 0.04%
iter 127: loss 3.6545, time 368.72ms, mfu 0.04%
iter 128: loss 3.6237, time 398.87ms, mfu 0.04%
iter 129: loss 3.6159, time 656.75ms, mfu 0.04%
iter 130: loss 3.6472, time 452.85ms, mfu 0.04%
iter 131: loss 3.5646, time 480.39ms, mfu 0.04%
iter 132: loss 3.5696, time 362.04ms, mfu 0.04%
iter 133: loss 3.6373, time 352.78ms, mfu 0.04%
iter 134: loss 3.6265, time 374.61ms, mfu 0.04%
iter 135: loss 3.5911, time 368.70ms, mfu 0.04%
iter 136: loss 3.6041, time 386.72ms, mfu 0.04%
iter 137: loss 3.6006, time 378.46ms, mfu 0.04%
iter 138: loss 3.6702, time 420.17ms, mfu 0.04%
iter 139: loss 3.5597, time 634.59ms, mfu 0.04%
iter 140: loss 3.5656, time 393.07ms, mfu 0.04%
iter 141: loss 3.5623, time 418.79ms, mfu 0.04%
iter 142: loss 3.6099, time 387.66ms, mfu 0.04%
iter 143: loss 3.5517, time 386.75ms, mfu 0.04%
iter 144: loss 3.5286, time 378.61ms, mfu 0.04%
iter 145: loss 3.6050, time 356.51ms, mfu 0.04%
iter 146: loss 3.5027, time 368.93ms, mfu 0.04%
iter 147: loss 3.5059, time 397.61ms, mfu 0.04%
iter 148: loss 3.5614, time 393.13ms, mfu 0.04%
