Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = dimerAdam
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
step 0: train loss 4.3265, val loss 4.3090
iter 105: loss 2.5476, time 495.21ms, mfu 0.03%
iter 106: loss 2.5019, time 479.98ms, mfu 0.03%
iter 107: loss 2.5260, time 441.15ms, mfu 0.03%
iter 108: loss 2.4919, time 512.55ms, mfu 0.03%
iter 109: loss 2.5693, time 750.89ms, mfu 0.03%
iter 110: loss 2.5924, time 451.46ms, mfu 0.03%
iter 111: loss 2.5726, time 492.85ms, mfu 0.03%
iter 112: loss 2.5453, time 526.27ms, mfu 0.03%
iter 113: loss 2.5536, time 400.99ms, mfu 0.03%
iter 114: loss 2.4925, time 428.21ms, mfu 0.03%
iter 115: loss 2.4653, time 489.63ms, mfu 0.03%
iter 116: loss 2.5493, time 481.80ms, mfu 0.03%
iter 117: loss 2.5036, time 529.85ms, mfu 0.03%
iter 118: loss 2.5369, time 478.56ms, mfu 0.03%
iter 119: loss 2.5386, time 682.63ms, mfu 0.03%
iter 120: loss 2.4532, time 448.30ms, mfu 0.03%
iter 121: loss 2.4665, time 462.70ms, mfu 0.03%
iter 122: loss 2.4320, time 392.61ms, mfu 0.03%
iter 123: loss 2.3680, time 438.59ms, mfu 0.03%
iter 124: loss 2.4711, time 498.62ms, mfu 0.03%
iter 125: loss 2.4518, time 427.26ms, mfu 0.03%
iter 126: loss 2.5149, time 492.86ms, mfu 0.03%
iter 127: loss 2.5450, time 462.53ms, mfu 0.03%
iter 128: loss 2.4519, time 446.89ms, mfu 0.03%
iter 129: loss 2.4771, time 709.21ms, mfu 0.03%
iter 130: loss 2.4029, time 472.03ms, mfu 0.03%
iter 131: loss 2.5012, time 549.96ms, mfu 0.03%
iter 132: loss 2.4247, time 431.57ms, mfu 0.03%
iter 133: loss 2.4563, time 480.24ms, mfu 0.03%
iter 134: loss 2.4224, time 512.81ms, mfu 0.03%
iter 135: loss 2.4317, time 427.54ms, mfu 0.03%
iter 136: loss 2.5384, time 401.34ms, mfu 0.03%
iter 137: loss 2.4189, time 486.06ms, mfu 0.03%
iter 138: loss 2.5447, time 473.43ms, mfu 0.03%
iter 139: loss 2.4588, time 800.39ms, mfu 0.03%
iter 140: loss 2.4146, time 455.10ms, mfu 0.03%
iter 141: loss 2.4127, time 468.62ms, mfu 0.03%
iter 142: loss 2.5207, time 440.30ms, mfu 0.03%
iter 143: loss 2.4653, time 478.58ms, mfu 0.03%
iter 144: loss 2.4779, time 487.60ms, mfu 0.03%
iter 145: loss 2.4041, time 480.21ms, mfu 0.03%
iter 146: loss 2.3454, time 484.74ms, mfu 0.03%
iter 147: loss 2.3576, time 538.61ms, mfu 0.03%
iter 148: loss 2.3838, time 469.41ms, mfu 0.03%
iter 149: loss 2.3614, time 704.14ms, mfu 0.03%
iter 150: loss 2.4394, time 469.91ms, mfu 0.03%
iter 151: loss 2.5154, time 452.55ms, mfu 0.03%
iter 152: loss 2.3560, time 524.61ms, mfu 0.03%
iter 153: loss 2.3976, time 476.09ms, mfu 0.03%
iter 154: loss 2.3888, time 420.48ms, mfu 0.03%
iter 155: loss 2.4147, time 493.37ms, mfu 0.03%
iter 156: loss 2.3784, time 491.96ms, mfu 0.03%
iter 157: loss 2.4077, time 475.04ms, mfu 0.03%
iter 158: loss 2.2678, time 460.86ms, mfu 0.03%
iter 159: loss 2.3368, time 668.86ms, mfu 0.03%
iter 160: loss 2.3048, time 489.43ms, mfu 0.03%
iter 161: loss 2.3419, time 461.71ms, mfu 0.03%
iter 162: loss 2.4293, time 445.99ms, mfu 0.03%
iter 163: loss 2.3867, time 527.84ms, mfu 0.03%
iter 164: loss 2.4456, time 465.38ms, mfu 0.03%
iter 165: loss 2.2449, time 466.39ms, mfu 0.03%
iter 166: loss 2.2508, time 496.41ms, mfu 0.03%
iter 167: loss 2.3573, time 472.90ms, mfu 0.03%
iter 168: loss 2.4647, time 449.42ms, mfu 0.03%
iter 169: loss 2.5059, time 745.11ms, mfu 0.03%
iter 170: loss 2.3821, time 443.54ms, mfu 0.03%
iter 171: loss 2.4227, time 446.13ms, mfu 0.03%
iter 172: loss 2.3920, time 487.89ms, mfu 0.03%
iter 173: loss 2.3379, time 417.46ms, mfu 0.03%
iter 174: loss 2.3523, time 480.74ms, mfu 0.03%
iter 175: loss 2.3525, time 455.46ms, mfu 0.03%
iter 176: loss 2.3559, time 506.08ms, mfu 0.03%
iter 177: loss 2.3633, time 472.77ms, mfu 0.03%
iter 178: loss 2.3417, time 412.51ms, mfu 0.03%
iter 179: loss 2.3300, time 689.24ms, mfu 0.03%
iter 180: loss 2.3762, time 459.57ms, mfu 0.03%
iter 181: loss 2.3287, time 472.06ms, mfu 0.03%
iter 182: loss 2.3863, time 448.83ms, mfu 0.03%
iter 183: loss 2.3365, time 431.13ms, mfu 0.03%
iter 184: loss 2.3086, time 485.14ms, mfu 0.03%
iter 185: loss 2.4627, time 535.90ms, mfu 0.03%
iter 186: loss 2.3028, time 442.94ms, mfu 0.03%
iter 187: loss 2.4325, time 505.43ms, mfu 0.03%
iter 188: loss 2.3417, time 443.29ms, mfu 0.03%
iter 189: loss 2.3343, time 712.92ms, mfu 0.03%
iter 190: loss 2.3614, time 431.51ms, mfu 0.03%
iter 191: loss 2.3773, time 507.67ms, mfu 0.03%
iter 192: loss 2.4098, time 453.12ms, mfu 0.03%
iter 193: loss 2.2356, time 406.39ms, mfu 0.03%
iter 194: loss 2.4302, time 459.40ms, mfu 0.03%
iter 195: loss 2.2453, time 446.10ms, mfu 0.03%
iter 196: loss 2.3286, time 485.11ms, mfu 0.03%
iter 197: loss 2.3169, time 490.24ms, mfu 0.03%
iter 198: loss 2.2419, time 454.23ms, mfu 0.03%
iter 199: loss 2.2481, time 695.91ms, mfu 0.03%
iter 200: loss 2.2649, time 470.57ms, mfu 0.03%
iter 201: loss 2.3162, time 512.20ms, mfu 0.03%
iter 202: loss 2.3664, time 398.08ms, mfu 0.03%
iter 203: loss 2.2764, time 456.56ms, mfu 0.03%
iter 204: loss 2.4035, time 450.64ms, mfu 0.03%
iter 205: loss 2.3704, time 392.09ms, mfu 0.03%
iter 206: loss 2.2250, time 449.33ms, mfu 0.04%
iter 207: loss 2.3896, time 456.07ms, mfu 0.04%
iter 208: loss 2.2514, time 486.45ms, mfu 0.03%
iter 209: loss 2.2891, time 684.45ms, mfu 0.03%
iter 210: loss 2.3678, time 453.70ms, mfu 0.03%
iter 211: loss 2.2615, time 520.29ms, mfu 0.03%
iter 212: loss 2.3223, time 474.70ms, mfu 0.03%
iter 213: loss 2.2808, time 411.37ms, mfu 0.03%
iter 214: loss 2.3187, time 487.73ms, mfu 0.03%
iter 215: loss 2.2872, time 459.69ms, mfu 0.03%
iter 216: loss 2.3422, time 486.83ms, mfu 0.03%
iter 217: loss 2.2199, time 444.30ms, mfu 0.03%
iter 218: loss 2.3426, time 436.13ms, mfu 0.03%
iter 219: loss 2.2537, time 673.34ms, mfu 0.03%
iter 220: loss 2.3438, time 443.16ms, mfu 0.03%
iter 221: loss 2.3477, time 437.16ms, mfu 0.03%
iter 222: loss 2.3863, time 398.52ms, mfu 0.03%
iter 223: loss 2.1966, time 432.77ms, mfu 0.04%
iter 224: loss 2.2841, time 459.57ms, mfu 0.04%
iter 225: loss 2.3599, time 492.75ms, mfu 0.03%
iter 226: loss 2.4152, time 486.39ms, mfu 0.03%
iter 227: loss 2.2737, time 434.16ms, mfu 0.03%
iter 228: loss 2.3370, time 472.00ms, mfu 0.03%
iter 229: loss 2.2648, time 700.44ms, mfu 0.03%
iter 230: loss 2.2775, time 482.56ms, mfu 0.03%
iter 231: loss 2.2215, time 434.18ms, mfu 0.03%
iter 232: loss 2.2354, time 403.90ms, mfu 0.03%
iter 233: loss 2.2791, time 473.75ms, mfu 0.03%
iter 234: loss 2.3224, time 547.63ms, mfu 0.03%
iter 235: loss 2.3125, time 462.68ms, mfu 0.03%
iter 236: loss 2.3869, time 463.07ms, mfu 0.03%
iter 237: loss 2.2668, time 435.76ms, mfu 0.03%
iter 238: loss 2.3027, time 498.06ms, mfu 0.03%
iter 239: loss 2.2060, time 786.11ms, mfu 0.03%
iter 240: loss 2.2545, time 454.54ms, mfu 0.03%
iter 241: loss 2.2896, time 436.18ms, mfu 0.03%
iter 242: loss 2.2243, time 444.03ms, mfu 0.03%
iter 243: loss 2.2429, time 430.53ms, mfu 0.03%
iter 244: loss 2.3206, time 492.13ms, mfu 0.03%
iter 245: loss 2.3282, time 461.71ms, mfu 0.03%
iter 246: loss 2.2516, time 588.17ms, mfu 0.03%
iter 247: loss 2.2990, time 446.20ms, mfu 0.03%
iter 248: loss 2.2523, time 427.81ms, mfu 0.03%
iter 249: loss 2.3194, time 707.96ms, mfu 0.03%
step 250: train loss 2.2501, val loss 2.2792
saving checkpoint to out-shakespeare-char
