Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = adam
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,666,368 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 278: loss 2.6610, time 370.78ms, mfu 0.05%
iter 279: loss 2.6304, time 351.23ms, mfu 0.05%
iter 280: loss 2.7058, time 374.73ms, mfu 0.05%
iter 281: loss 2.6508, time 389.53ms, mfu 0.05%
iter 282: loss 2.6654, time 313.31ms, mfu 0.05%
iter 283: loss 2.7243, time 310.22ms, mfu 0.05%
iter 284: loss 2.7185, time 370.32ms, mfu 0.05%
iter 285: loss 2.6851, time 349.12ms, mfu 0.05%
iter 286: loss 2.6897, time 331.21ms, mfu 0.05%
iter 287: loss 2.6485, time 344.99ms, mfu 0.05%
iter 288: loss 2.6873, time 333.04ms, mfu 0.05%
iter 289: loss 2.6952, time 332.50ms, mfu 0.05%
iter 290: loss 2.6640, time 337.84ms, mfu 0.05%
iter 291: loss 2.7564, time 324.66ms, mfu 0.05%
iter 292: loss 2.6185, time 343.93ms, mfu 0.05%
iter 293: loss 2.6785, time 345.69ms, mfu 0.05%
iter 294: loss 2.7639, time 331.44ms, mfu 0.05%
iter 295: loss 2.7069, time 355.44ms, mfu 0.05%
iter 296: loss 2.6334, time 353.93ms, mfu 0.05%
iter 297: loss 2.6454, time 362.33ms, mfu 0.05%
iter 298: loss 2.6679, time 311.21ms, mfu 0.05%
iter 299: loss 2.6674, time 360.83ms, mfu 0.05%
iter 300: loss 2.7417, time 348.86ms, mfu 0.05%
iter 301: loss 2.7109, time 332.11ms, mfu 0.05%
iter 302: loss 2.6143, time 307.58ms, mfu 0.05%
iter 303: loss 2.6613, time 367.23ms, mfu 0.05%
iter 304: loss 2.6319, time 331.57ms, mfu 0.05%
iter 305: loss 2.7252, time 338.57ms, mfu 0.05%
iter 306: loss 2.6821, time 338.53ms, mfu 0.05%
iter 307: loss 2.7669, time 378.17ms, mfu 0.05%
iter 308: loss 2.5792, time 409.24ms, mfu 0.05%
iter 309: loss 2.6743, time 412.69ms, mfu 0.05%
iter 310: loss 2.6211, time 311.13ms, mfu 0.05%
iter 311: loss 2.5784, time 333.88ms, mfu 0.05%
iter 312: loss 2.8040, time 352.71ms, mfu 0.05%
iter 313: loss 2.7982, time 312.52ms, mfu 0.05%
iter 314: loss 2.6775, time 374.33ms, mfu 0.05%
iter 315: loss 2.7383, time 370.46ms, mfu 0.05%
iter 316: loss 2.6168, time 324.16ms, mfu 0.05%
iter 317: loss 2.6409, time 372.70ms, mfu 0.05%
iter 318: loss 2.7213, time 326.22ms, mfu 0.05%
iter 319: loss 2.6495, time 406.23ms, mfu 0.05%
iter 320: loss 2.7177, time 319.16ms, mfu 0.05%
iter 321: loss 2.7076, time 300.32ms, mfu 0.05%
iter 322: loss 2.5941, time 389.18ms, mfu 0.05%
iter 323: loss 2.6729, time 332.28ms, mfu 0.05%
iter 324: loss 2.7118, time 363.30ms, mfu 0.05%
iter 325: loss 2.6979, time 364.48ms, mfu 0.05%
iter 326: loss 2.7651, time 367.85ms, mfu 0.05%
iter 327: loss 2.6507, time 365.97ms, mfu 0.05%
iter 328: loss 2.6567, time 299.60ms, mfu 0.05%
iter 329: loss 2.6306, time 409.41ms, mfu 0.05%
iter 330: loss 2.7156, time 334.67ms, mfu 0.05%
iter 331: loss 2.7435, time 340.40ms, mfu 0.05%
iter 332: loss 2.6529, time 376.02ms, mfu 0.05%
iter 333: loss 2.6893, time 311.00ms, mfu 0.05%
iter 334: loss 2.6535, time 364.23ms, mfu 0.05%
iter 335: loss 2.6434, time 336.45ms, mfu 0.05%
iter 336: loss 2.6710, time 367.59ms, mfu 0.05%
iter 337: loss 2.7890, time 353.28ms, mfu 0.05%
iter 338: loss 2.6325, time 366.96ms, mfu 0.05%
iter 339: loss 2.5849, time 340.73ms, mfu 0.05%
iter 340: loss 2.6813, time 324.27ms, mfu 0.05%
iter 341: loss 2.5820, time 336.45ms, mfu 0.05%
iter 342: loss 2.6272, time 365.01ms, mfu 0.05%
iter 343: loss 2.7771, time 304.91ms, mfu 0.05%
iter 344: loss 2.6834, time 350.63ms, mfu 0.05%
iter 345: loss 2.6953, time 346.31ms, mfu 0.05%
iter 346: loss 2.6416, time 373.29ms, mfu 0.05%
iter 347: loss 2.6488, time 335.57ms, mfu 0.05%
iter 348: loss 2.7157, time 323.43ms, mfu 0.05%
iter 349: loss 2.6411, time 319.56ms, mfu 0.05%
iter 350: loss 2.7203, time 335.09ms, mfu 0.05%
iter 351: loss 2.6430, time 357.98ms, mfu 0.05%
iter 352: loss 2.6731, time 304.92ms, mfu 0.05%
iter 353: loss 2.6588, time 315.61ms, mfu 0.05%
iter 354: loss 2.6640, time 392.85ms, mfu 0.05%
iter 355: loss 2.6384, time 373.87ms, mfu 0.05%
iter 356: loss 2.6066, time 350.23ms, mfu 0.05%
iter 357: loss 2.7166, time 393.80ms, mfu 0.05%
iter 358: loss 2.6277, time 392.86ms, mfu 0.05%
iter 359: loss 2.5731, time 335.37ms, mfu 0.05%
iter 360: loss 2.6355, time 358.22ms, mfu 0.05%
iter 361: loss 2.7208, time 387.78ms, mfu 0.05%
iter 362: loss 2.6584, time 343.77ms, mfu 0.05%
iter 363: loss 2.5948, time 350.09ms, mfu 0.05%
iter 364: loss 2.6338, time 364.85ms, mfu 0.05%
iter 365: loss 2.6821, time 352.55ms, mfu 0.05%
iter 366: loss 2.6722, time 309.35ms, mfu 0.05%
iter 367: loss 2.6261, time 304.72ms, mfu 0.05%
iter 368: loss 2.6202, time 385.59ms, mfu 0.05%
iter 369: loss 2.7147, time 319.76ms, mfu 0.05%
iter 370: loss 2.7080, time 331.77ms, mfu 0.05%
iter 371: loss 2.6621, time 334.48ms, mfu 0.05%
iter 372: loss 2.6790, time 367.49ms, mfu 0.05%
iter 373: loss 2.7197, time 318.12ms, mfu 0.05%
iter 374: loss 2.6755, time 316.95ms, mfu 0.05%
iter 375: loss 2.6255, time 375.31ms, mfu 0.05%
iter 376: loss 2.7288, time 354.28ms, mfu 0.05%
iter 377: loss 2.6810, time 308.35ms, mfu 0.05%
iter 378: loss 2.6324, time 388.90ms, mfu 0.05%
iter 379: loss 2.6725, time 349.33ms, mfu 0.05%
iter 380: loss 2.5703, time 350.50ms, mfu 0.05%
iter 381: loss 2.5919, time 402.45ms, mfu 0.05%
iter 382: loss 2.6379, time 308.99ms, mfu 0.05%
iter 383: loss 2.7336, time 361.36ms, mfu 0.05%
iter 384: loss 2.6822, time 355.10ms, mfu 0.05%
iter 385: loss 2.6287, time 307.61ms, mfu 0.05%
iter 386: loss 2.5585, time 329.43ms, mfu 0.05%
iter 387: loss 2.6540, time 334.26ms, mfu 0.05%
iter 388: loss 2.5581, time 346.14ms, mfu 0.05%
iter 389: loss 2.6676, time 355.14ms, mfu 0.05%
