Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = sgd
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,666,368 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 105: loss 3.7580, time 313.07ms, mfu 0.05%
iter 106: loss 3.7150, time 350.79ms, mfu 0.05%
iter 107: loss 3.7232, time 303.05ms, mfu 0.05%
iter 108: loss 3.7282, time 306.54ms, mfu 0.05%
iter 109: loss 3.7490, time 315.11ms, mfu 0.05%
iter 110: loss 3.6744, time 293.05ms, mfu 0.05%
iter 111: loss 3.7051, time 324.89ms, mfu 0.05%
iter 112: loss 3.7220, time 295.99ms, mfu 0.05%
iter 113: loss 3.6498, time 300.41ms, mfu 0.05%
iter 114: loss 3.6931, time 307.35ms, mfu 0.05%
iter 115: loss 3.6958, time 317.07ms, mfu 0.05%
iter 116: loss 3.6693, time 267.03ms, mfu 0.05%
iter 117: loss 3.6930, time 322.92ms, mfu 0.05%
iter 118: loss 3.6409, time 284.04ms, mfu 0.05%
iter 119: loss 3.6693, time 296.29ms, mfu 0.05%
iter 120: loss 3.6893, time 288.92ms, mfu 0.05%
iter 121: loss 3.6244, time 300.85ms, mfu 0.05%
iter 122: loss 3.6748, time 298.56ms, mfu 0.05%
iter 123: loss 3.6756, time 356.84ms, mfu 0.05%
iter 124: loss 3.6458, time 266.35ms, mfu 0.05%
iter 125: loss 3.6228, time 291.24ms, mfu 0.05%
iter 126: loss 3.5922, time 256.34ms, mfu 0.05%
iter 127: loss 3.6109, time 335.84ms, mfu 0.05%
iter 128: loss 3.6398, time 353.27ms, mfu 0.05%
iter 129: loss 3.5736, time 280.93ms, mfu 0.05%
iter 130: loss 3.6669, time 316.49ms, mfu 0.05%
iter 131: loss 3.6346, time 306.89ms, mfu 0.05%
iter 132: loss 3.6024, time 328.41ms, mfu 0.05%
iter 133: loss 3.5328, time 304.98ms, mfu 0.05%
iter 134: loss 3.5859, time 288.94ms, mfu 0.05%
iter 135: loss 3.5253, time 340.41ms, mfu 0.05%
iter 136: loss 3.5919, time 290.40ms, mfu 0.05%
iter 137: loss 3.5620, time 298.63ms, mfu 0.05%
iter 138: loss 3.6030, time 302.44ms, mfu 0.05%
iter 139: loss 3.6133, time 263.86ms, mfu 0.05%
iter 140: loss 3.5034, time 312.04ms, mfu 0.05%
iter 141: loss 3.5588, time 325.70ms, mfu 0.05%
iter 142: loss 3.5881, time 311.87ms, mfu 0.05%
iter 143: loss 3.5277, time 292.11ms, mfu 0.05%
iter 144: loss 3.5017, time 328.16ms, mfu 0.05%
iter 145: loss 3.5285, time 290.79ms, mfu 0.05%
iter 146: loss 3.6005, time 293.74ms, mfu 0.05%
iter 147: loss 3.6415, time 304.97ms, mfu 0.05%
iter 148: loss 3.5215, time 306.01ms, mfu 0.05%
iter 149: loss 3.5686, time 309.86ms, mfu 0.05%
iter 150: loss 3.4951, time 291.19ms, mfu 0.05%
iter 151: loss 3.4820, time 337.72ms, mfu 0.05%
iter 152: loss 3.5828, time 346.01ms, mfu 0.05%
iter 153: loss 3.5727, time 300.24ms, mfu 0.05%
iter 154: loss 3.5182, time 285.76ms, mfu 0.05%
iter 155: loss 3.5218, time 299.35ms, mfu 0.05%
iter 156: loss 3.5307, time 356.06ms, mfu 0.05%
iter 157: loss 3.5452, time 259.69ms, mfu 0.05%
iter 158: loss 3.4527, time 344.91ms, mfu 0.05%
iter 159: loss 3.5542, time 341.87ms, mfu 0.05%
iter 160: loss 3.5914, time 327.79ms, mfu 0.05%
iter 161: loss 3.5362, time 344.90ms, mfu 0.05%
iter 162: loss 3.5181, time 294.13ms, mfu 0.05%
iter 163: loss 3.4543, time 292.61ms, mfu 0.05%
iter 164: loss 3.4913, time 297.05ms, mfu 0.05%
iter 165: loss 3.4579, time 299.09ms, mfu 0.05%
iter 166: loss 3.5146, time 292.41ms, mfu 0.05%
iter 167: loss 3.4786, time 264.88ms, mfu 0.05%
iter 168: loss 3.4292, time 329.55ms, mfu 0.05%
iter 169: loss 3.5379, time 313.98ms, mfu 0.05%
